epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,18156.8,0.68105,0.33594,0.92837,0.98453,0.96904,0.9882,0.72209,1.04238,0.43322,1.1084,0.000109,0.000109,0.000109
92,18299.3,0.67461,0.33145,0.92411,0.97475,0.97909,0.99025,0.71992,1.04744,0.43586,1.11509,9.91e-05,9.91e-05,9.91e-05
93,18507.9,0.66902,0.32872,0.91952,0.97815,0.97748,0.98834,0.7168,1.04544,0.42885,1.11324,8.92e-05,8.92e-05,8.92e-05
94,18721.6,0.67516,0.3299,0.92609,0.98499,0.96244,0.98932,0.71909,1.0432,0.42077,1.11526,7.93e-05,7.93e-05,7.93e-05
95,18897.4,0.65714,0.32232,0.91279,0.97773,0.97066,0.98829,0.72367,1.04084,0.41965,1.11181,6.94e-05,6.94e-05,6.94e-05
96,19074.6,0.6566,0.31959,0.91162,0.97938,0.97573,0.9887,0.72445,1.03837,0.42167,1.11285,5.95e-05,5.95e-05,5.95e-05
97,19287.9,0.64894,0.31836,0.91708,0.97561,0.97874,0.98871,0.72891,1.03477,0.41971,1.10885,4.96e-05,4.96e-05,4.96e-05
98,19658.1,0.64516,0.31781,0.91826,0.97519,0.9826,0.98877,0.72042,1.03498,0.40961,1.11027,3.97e-05,3.97e-05,3.97e-05
99,19982.9,0.63813,0.31487,0.91879,0.97624,0.97928,0.98871,0.71854,1.02983,0.41493,1.10796,2.98e-05,2.98e-05,2.98e-05
100,20342.5,0.63722,0.31451,0.91369,0.97786,0.97918,0.98839,0.7189,1.03609,0.41473,1.11058,1.99e-05,1.99e-05,1.99e-05
